"asset","model","feature_set","n","accuracy","balanced_accuracy","f1","auc","positive_rate_actual","positive_rate_predicted"
"DOT","glmnet_logistic","lagged_returns",5040,0.518055555555556,0.517748987854251,0.500514085955172,0.520960758368717,0.471230158730159,0.493650793650794
"ETH","glmnet_logistic","lagged_returns",5040,0.514087301587302,0.514040228729304,0.50912006414111,0.515927854931285,0.496230158730159,0.493650793650794
"LINK","glmnet_logistic","lagged_returns",5040,0.518849206349206,0.518460224795598,0.495527355939255,0.520208006372109,0.460119047619048,0.493650793650794
"LTC","glmnet_logistic","lagged_returns",5040,0.516666666666667,0.516529290207272,0.507878787878788,0.520440249590517,0.488492063492063,0.493650793650794
"SOL","glmnet_logistic","lagged_returns",5040,0.51765873015873,0.517626445400175,0.513313313313313,0.516087525004996,0.497420634920635,0.493650793650794
"TRX","glmnet_logistic","lagged_returns",5040,0.492857142857143,0.492588007941961,0.479005299633102,0.490340845640912,0.479761904761905,0.493650793650794
"XRP","glmnet_logistic","lagged_returns",5040,0.510912698412698,0.510733241131482,0.500304074599635,0.508295250816617,0.485119047619048,0.493650793650794
"ADA","random_forest","lagged_returns",5040,0.508730158730159,0.515478343388941,0.558645276292335,0.517669725572908,0.475595238095238,0.6375
"AVAX","random_forest","lagged_returns",5040,0.495833333333333,0.508510808504587,0.540589405170855,0.511313010458041,0.455555555555556,0.641865079365079
"BNB","random_forest","lagged_returns",5040,0.517261904761905,0.514913054435484,0.582460957611121,0.5221630859375,0.507936507936508,0.648214285714286
"BTC","random_forest","lagged_returns",5040,0.513492063492063,0.513790130504104,0.576657458563536,0.51770297029703,0.499007936507937,0.650198412698413
"DOGE","random_forest","lagged_returns",5040,0.511309523809524,0.512935158372772,0.573654145750389,0.517108524205427,0.494642857142857,0.651587301587302
"DOT","random_forest","lagged_returns",5040,0.509523809523809,0.518111977880912,0.561857497341368,0.52732323491656,0.471230158730159,0.648214285714286
"ETH","random_forest","lagged_returns",5040,0.514880952380952,0.515976909748113,0.575004345558839,0.524607801621376,0.496230158730159,0.645238095238095
"LINK","random_forest","lagged_returns",5040,0.499801587301587,0.511076705400429,0.545520100955471,0.516747070799853,0.460119047619048,0.64047619047619
"LTC","random_forest","lagged_returns",5040,0.514880952380952,0.518320204895639,0.573521716378859,0.52330497258878,0.488492063492063,0.649007936507937
"SOL","random_forest","lagged_returns",5040,0.51547619047619,0.516265786236753,0.578820282856157,0.520477286574299,0.497420634920635,0.65297619047619
"TRX","random_forest","lagged_returns",5040,0.495833333333333,0.50223769857268,0.55693112467306,0.50182397591418,0.479761904761905,0.658134920634921
"XRP","random_forest","lagged_returns",5040,0.506349206349206,0.511053583460406,0.568055555555556,0.519310141021549,0.485119047619048,0.657738095238095
"ADA","xgboost","lagged_returns",5040,0.517460317460318,0.515783776258348,0.486919831223629,0.520394076275506,0.475595238095238,0.464880952380952
"AVAX","xgboost","lagged_returns",5040,0.513293650793651,0.510252968783332,0.471222246173744,0.517344145224043,0.455555555555556,0.464880952380952
"BNB","xgboost","lagged_returns",5040,0.522420634920635,0.522983870967742,0.509076075871915,0.52748283140121,0.507936507936508,0.464880952380952
"BTC","xgboost","lagged_returns",5040,0.516071428571429,0.516002204594217,0.498044865198601,0.524828140070468,0.499007936507937,0.465079365079365
"DOGE","xgboost","lagged_returns",5040,0.510714285714286,0.510339197101708,0.490074441687345,0.513848119060027,0.494642857142857,0.464880952380952
